,User,Profile Picture,Email Address,Phone Number,Communication History,Company Name,Industry,Deal Stage,Deal Value,Win/Loss Status,Upcoming Tasks,Activity Status,Lead Source,Location,Custom Visuals,Creation Date,Last Updated,User Activity
196,Jessica Rodriguez,https://placekitten.com/443/534,ramosjohn@example.net,941-741-4811x865,Magazine because of should thank. Life word director response whether enter. Run hear cover side perhaps quickly base.,Willis-Smith,Retail,Lead,28708,Lost,1/25/2024,Completed,Instagram,Monaco,4,7/21/2021,12/22/2023,23
197,Sierra Gray,https://dummyimage.com/681x558,timothy22@example.net,595-397-8345,Market southern their authority full for expect.,"Eaton, Rivera and Wong",Technology,Closed Deal,18324,Lost,1/5/2024,Ongoing,Facebook,Tokelau,1,4/15/2020,12/18/2023,75
198,Jason Rosales,https://picsum.photos/759/1020,amberchavez@example.net,315.946.2581x605,Read management during we quality people suddenly. Left claim community always hair writer.,"Morse, Allen and Ibarra",Healthcare,Lead,98036,Lost,1/24/2024,Completed,Yahoo,Portugal,3,5/22/2021,12/27/2023,55
199,Jamie Miller,https://picsum.photos/76/525,josephsullivan@example.com,(604)211-7210x3920,Step discover leader market foreign. Teacher moment yet agent.,Lowe-Colon,Retail,Lead,70621,Won,1/20/2024,Ongoing,Instagram,Bulgaria,7,8/18/2022,12/12/2023,64
200,Amber Werner,https://picsum.photos/914/368,melissa35@example.org,7443322874,Point generation thought entire. Ask education future change specific several shoulder.,Oconnor-Porter,Finance,Proposal,68859,Lost,1/21/2024,Ongoing,Facebook,Cape Verde,7,9/7/2023,12/21/2023,77
201,Scott Mills,https://dummyimage.com/705x106,mosssara@example.com,2617168043,Doctor commercial image like almost rest. Effort general cover. Mr authority now more resource candidate.,Mitchell Inc,Retail,Closed Deal,31728,Won,1/26/2024,Completed,Google,Namibia,3,10/27/2022,12/5/2023,68
202,Alexandra Brown,https://placekitten.com/309/574,scott36@example.com,(297)830-2030x39213,Camera mouth always able team. Mission structure middle fill room system central.,"Clayton, Miller and Wright",Finance,Lead,57812,Lost,1/10/2024,Completed,Google,Afghanistan,7,4/10/2021,12/1/2023,74
203,Elizabeth Perkins,https://placekitten.com/380/867,leemichael@example.org,622.807.7043x5088,Subject score from sure foreign future course. Ground enjoy more moment. Budget help these yes year alone.,"Colon, Jackson and Vaughn",Technology,Opportunity,27153,Won,1/10/2024,Completed,Instagram,Sao Tome and Principe,1,10/2/2022,12/27/2023,31
204,Lisa Stone,https://picsum.photos/436/16,johnking@example.com,283.940.5855,Road hotel very. Spring stop billion recent hope while. By husband consumer apply.,Ruiz-Hernandez,Healthcare,Lead,20695,Won,1/17/2024,Completed,Yahoo,South Africa,4,12/17/2021,12/5/2023,90
205,Aaron Hughes,https://placekitten.com/154/197,martinezjoshua@example.org,657-400-9670x100,Meeting couple visit despite. Expect until he capital relationship fund theory. Quality with light.,Sanchez-Evans,Retail,Closed Deal,51911,Won,12/31/2023,Completed,Yahoo,Iran,10,8/7/2022,12/28/2023,12
206,Kathleen Estes,https://dummyimage.com/634x185,paulagoodman@example.net,307.617.2851,Million buy inside important onto so food. Concern line successful box.,"Newman, Mitchell and Brewer",Technology,Opportunity,16285,Won,1/18/2024,Completed,X,Hong Kong,9,3/28/2020,12/5/2023,89
207,Jeremiah Kane,https://placekitten.com/417/507,trevorowen@example.net,(934)385-3338x4429,East quite soldier message. Particular single site size modern trial movement.,Graham and Sons,Retail,Lead,60654,Won,12/30/2023,Ongoing,Yahoo,Gabon,2,7/5/2021,12/17/2023,92
208,John Martinez,https://dummyimage.com/839x402,ryan42@example.org,340.964.6335,Plant guy morning move age final surface. Require page chance building trouble couple. Structure both send south.,Stein Inc,Retail,Proposal,78788,Lost,1/16/2024,Ongoing,Yahoo,Ethiopia,5,12/22/2023,12/28/2023,68
209,Angela Perez,https://picsum.photos/832/23,stephenreyes@example.net,223.779.2267x65456,Open red build base. Positive may everything relate spring. Kind cold political.,Flowers-Barton,Finance,Opportunity,87776,Won,12/30/2023,Ongoing,Other,Dominica,4,3/17/2022,12/28/2023,84
210,Carlos Porter,https://dummyimage.com/975x110,markberry@example.net,(911)977-5204x091,Executive poor easy charge.,"Guzman, Evans and Mcdonald",Retail,Proposal,91344,Won,1/24/2024,Completed,Website,Benin,10,1/12/2020,12/12/2023,33
211,Kelsey Hood,https://placekitten.com/521/730,jacksoncaitlin@example.net,001-210-927-2381x1920,Body safe none list wall. Year view thus clearly. Leave language total design.,"Hansen, Griffith and Rose",Healthcare,Closed Deal,33713,Lost,1/8/2024,Completed,X,Poland,5,6/3/2020,12/4/2023,46
212,David Turner PhD,https://picsum.photos/447/806,kylegallagher@example.com,(921)666-9932x750,Senior sort person tax still hospital general. Ever suggest real stage go arm social. Main simple drive no week cell.,House Ltd,Retail,Closed Deal,38029,Lost,1/23/2024,Ongoing,Instagram,Benin,5,9/9/2021,12/25/2023,70
213,Jonathan Stuart,https://picsum.photos/294/458,meyerskendra@example.org,913-783-7279x701,Possible pull stuff candidate ask behind street.,Solis PLC,Finance,Closed Deal,56767,Lost,1/8/2024,Ongoing,X,Papua New Guinea,10,7/7/2021,12/9/2023,10
214,Joel Clark,https://placekitten.com/134/78,rittererin@example.org,(954)488-0797,Factor instead create. Eight thousand loss husband house. Save support spend beautiful where rest compare. Show seat operation threat section policy.,Castillo PLC,Retail,Proposal,31273,Lost,1/12/2024,Ongoing,Facebook,Burundi,2,12/16/2022,12/7/2023,47
215,Mariah Mccarthy,https://placekitten.com/596/536,umullen@example.com,001-686-901-9205x95643,Realize heavy whether speak task final house return. Thing voice card mother try response western.,Lucas-Bauer,Retail,Opportunity,71493,Lost,1/27/2024,Ongoing,Instagram,Nepal,5,3/4/2021,12/16/2023,45
216,Lisa Davis,https://placekitten.com/854/752,kho@example.org,896-755-1666,High race east. Box word hard house front.,Gonzalez-Brown,Healthcare,Proposal,49554,Lost,1/19/2024,Ongoing,Yahoo,New Caledonia,7,12/6/2022,12/9/2023,22
217,Kiara Jensen,https://placekitten.com/453/204,jordan23@example.com,(581)325-6998x98530,Mrs month sound few media ten. Pass follow effort claim live recognize responsibility what.,West PLC,Retail,Lead,36938,Lost,1/12/2024,Ongoing,Instagram,Afghanistan,5,12/1/2021,12/5/2023,96
218,Heather Stevens,https://dummyimage.com/944x240,fjackson@example.net,(502)405-8416,Matter choice painting look office get five glass. Threat choice Republican manage. Town by future us report about bit.,Schmidt PLC,Technology,Proposal,21584,Lost,1/14/2024,Ongoing,Facebook,Djibouti,2,6/21/2020,12/9/2023,36
219,Katrina Chavez,https://placekitten.com/156/411,brittanyhaley@example.org,6715233156,Fill want determine history. Much hundred investment usually change more bit decade.,Griffin-Hughes,Finance,Closed Deal,28146,Won,12/31/2023,Completed,Website,Ireland,10,5/5/2021,12/2/2023,78
220,Marilyn Rodriguez,https://picsum.photos/87/550,gordonholly@example.com,476.303.2066,Two trip second decide man respond recognize. Follow often keep long five.,"Hardy, Jacobs and Valenzuela",Technology,Lead,10606,Won,1/24/2024,Ongoing,Instagram,Brunei Darussalam,1,3/23/2023,12/22/2023,25
221,Brendan Landry,https://dummyimage.com/817x644,kimberlymueller@example.net,(898)550-2551x861,Tough cover great manage lose issue tax. Physical pay might Republican reduce move throughout.,"Whitaker, Barker and Koch",Technology,Opportunity,51481,Lost,1/10/2024,Ongoing,X,United States Minor Outlying Islands,7,11/29/2020,12/20/2023,36
222,Kendra Reilly,https://dummyimage.com/237x447,kimberly58@example.net,375-674-1824,Card start fire short small perhaps last.,Flores LLC,Retail,Closed Deal,19894,Lost,1/23/2024,Completed,Google,Angola,2,8/11/2023,12/28/2023,63
223,Lawrence Jimenez DVM,https://placekitten.com/522/189,johnsonstephen@example.net,(675)325-2335x479,Majority yes world significant floor.,Perez-Martin,Healthcare,Closed Deal,22898,Won,1/10/2024,Completed,Website,Saint Kitts and Nevis,10,1/20/2022,12/8/2023,94
224,Allison Mitchell,https://dummyimage.com/868x148,christine14@example.net,+1-993-228-5055x34350,Skin newspaper heart natural old themselves. Story ready leave pass.,Morales-Wilson,Finance,Closed Deal,33838,Won,1/5/2024,Completed,Google,New Zealand,3,12/25/2020,12/8/2023,52
225,Holly Black,https://dummyimage.com/137x695,rcortez@example.org,+1-940-644-4767x2175,Institution military within hospital across Mrs. Here mind edge factor miss. Color end bed away oil find teach. Wife physical according wish view decide.,Mccoy Ltd,Technology,Lead,37823,Won,1/5/2024,Ongoing,X,Korea,6,3/30/2023,12/25/2023,51
226,Paula Jones,https://placekitten.com/99/755,tannermurphy@example.net,(370)805-8239x06674,Say figure school kitchen too others general. Change eight spend region though career. Agent start purpose whatever everybody so.,Riley-Conley,Technology,Proposal,27504,Lost,1/6/2024,Completed,Website,Israel,8,6/27/2022,12/21/2023,49
227,Steven Austin,https://placekitten.com/257/114,jeremyfletcher@example.org,001-812-479-0933x754,Sing town focus respond message daughter above decide. Nothing production which rise pattern society alone alone.,Mcmillan-Wong,Healthcare,Proposal,59605,Won,1/27/2024,Completed,Website,Korea,10,7/18/2021,12/7/2023,93
228,Stacy Hodges,https://dummyimage.com/922x532,melissa65@example.org,+1-305-831-2066x987,Real strategy his toward. That consider back music as wall. Arrive democratic else admit your these.,"Jones, Sanchez and Manning",Healthcare,Lead,72679,Won,1/15/2024,Ongoing,Google,Israel,9,10/10/2023,12/9/2023,87
229,Ann Ortega,https://placekitten.com/444/183,kdavis@example.net,823-518-2968x8236,Side design source believe old. Ready condition argue risk.,Walker PLC,Healthcare,Proposal,24892,Won,1/16/2024,Completed,Instagram,Bahrain,8,5/5/2021,12/19/2023,24
230,Derrick Noble,https://placekitten.com/77/85,barrerajonathan@example.net,283-359-2827,Still leave society some ago strategy doctor. Church travel power care. Side film not. Election run glass admit former describe.,Greene-Thompson,Healthcare,Closed Deal,68030,Won,1/20/2024,Completed,Other,United Kingdom,6,3/22/2020,12/22/2023,90
231,Jennifer Bright,https://picsum.photos/649/688,tiffany41@example.com,4646926703,Partner you conference remain. Course model six practice.,Campos-Gillespie,Finance,Closed Deal,16971,Won,12/31/2023,Ongoing,X,San Marino,9,12/29/2020,12/15/2023,42
232,Walter Carpenter,https://picsum.photos/455/176,pmitchell@example.net,(307)667-8858,Section authority become owner that teacher.,Nelson-Carter,Retail,Closed Deal,17330,Lost,1/3/2024,Ongoing,Other,Paraguay,6,10/1/2021,12/5/2023,5
233,Alexander Jones,https://dummyimage.com/529x666,awatson@example.com,(712)467-6459x55641,Serve option possible watch. Truth executive especially next perhaps drug. Democrat drug standard Mr head build term sense.,Wade Group,Finance,Lead,16469,Lost,1/1/2024,Completed,Instagram,Saint Lucia,4,9/4/2023,12/14/2023,67
234,Theresa Herrera,https://picsum.photos/849/86,christopherhall@example.com,+1-474-369-7114x83888,Their of health seem cut actually. Pay including senior role last candidate offer.,"Hernandez, Smith and Adkins",Retail,Lead,73789,Won,1/8/2024,Completed,Instagram,Botswana,4,2/6/2020,12/21/2023,46
235,Cory Bernard,https://placekitten.com/733/295,beverlykim@example.net,401-218-1377x68405,Build term site beyond. Can later pass week investment collection. Subject technology focus yet it take think language.,Carr-Cobb,Technology,Lead,19504,Lost,1/13/2024,Ongoing,Yahoo,Syrian Arab Republic,3,1/12/2022,12/23/2023,91
236,Steve Jackson,https://picsum.photos/188/1011,rwade@example.org,527-805-0741,Three apply accept station red culture remain.,Baird-Roberts,Retail,Closed Deal,65567,Lost,1/22/2024,Ongoing,Google,Singapore,8,10/1/2023,12/2/2023,96
237,Amanda Valencia,https://dummyimage.com/1015x106,hlang@example.org,(910)651-2053x920,Wide know teach government talk recognize way.,Wells-Jensen,Retail,Lead,80595,Lost,1/13/2024,Ongoing,X,Portugal,8,2/8/2022,12/15/2023,21
238,Duane Hawkins,https://dummyimage.com/525x251,psoto@example.org,(353)692-5550,Front that draw blood visit themselves stay. Join sometimes community prove health. Story little rich cultural. Figure pass camera property piece quality middle role.,"Hudson, Fields and Morton",Retail,Lead,55843,Won,1/27/2024,Completed,Other,Dominican Republic,9,8/18/2020,12/25/2023,61
239,Richard Ramirez,https://dummyimage.com/155x495,greyes@example.com,(825)906-4410,Town part score eye. Tend throw difference stop method well health. Writer generation could still purpose yourself. It break including TV until.,Golden LLC,Finance,Opportunity,55167,Lost,1/4/2024,Ongoing,Facebook,China,10,4/4/2022,12/16/2023,54
240,Diamond Franklin,https://dummyimage.com/112x892,deborahmiller@example.net,4103592420,Pull economic adult front ball compare firm model. Everything news bill safe I. Much law blood should such plant.,Cain-Hunter,Healthcare,Proposal,84064,Won,1/23/2024,Ongoing,Website,Burkina Faso,6,8/9/2022,12/24/2023,7
241,Laurie Gardner,https://placekitten.com/692/312,marcus25@example.com,001-958-662-8136x956,Page full claim just. Themselves deal would hard million entire education. A here tax response accept.,Logan-Hammond,Finance,Lead,11213,Won,1/21/2024,Ongoing,Yahoo,Turkey,9,10/23/2023,12/3/2023,44
242,Joel Watts Jr.,https://placekitten.com/83/654,smithjill@example.org,(967)405-9918x4226,Plant behind drug green research edge lose. Late less table play oil. Second executive suddenly each worker institution important eye.,Gray-Conner,Technology,Proposal,7270,Lost,1/23/2024,Ongoing,Google,Nigeria,7,7/17/2023,12/16/2023,13
243,Tamara Allen,https://dummyimage.com/331x787,mtanner@example.org,001-517-819-7722x922,Trip air individual college most consider. Husband not best conference. Himself discover knowledge relate figure.,"Oneill, Foster and Peterson",Technology,Lead,89168,Won,1/22/2024,Completed,Yahoo,Libyan Arab Jamahiriya,8,9/2/2021,12/14/2023,40
244,Kathy Chavez,https://placekitten.com/1008/640,jodythomas@example.net,001-849-316-2459x6003,Stuff wait whose section our here almost. Commercial create do region experience environment beautiful. Tax effect yet try.,"Santos, Johnson and Smith",Technology,Closed Deal,60007,Won,1/2/2024,Completed,Instagram,Falkland Islands (Malvinas),1,12/14/2023,12/9/2023,32
245,Jordan Zhang,https://placekitten.com/543/482,mannanne@example.com,977.866.5097x116,Must rate oil her others. Ok pattern including fire author. Party since edge always art car.,Martinez-Davis,Technology,Proposal,16568,Lost,1/12/2024,Completed,Google,Bangladesh,3,7/20/2023,12/11/2023,83
246,Joshua Stone,https://dummyimage.com/103x87,patrickhutchinson@example.org,001-237-714-1497x4868,List develop scene happy name head mind. Music manage reveal view win tax win attorney. Record when Congress short.,Schwartz Ltd,Technology,Proposal,60860,Won,1/19/2024,Completed,Google,Faroe Islands,4,2/11/2022,12/16/2023,99
247,Peggy Grant,https://dummyimage.com/445x141,plopez@example.com,001-845-267-8236x24333,Reduce phone bring care light ago computer military. College dream throw economic stand tend.,Lynch and Sons,Retail,Proposal,85010,Won,1/15/2024,Completed,Instagram,Bermuda,8,11/20/2020,12/14/2023,61
248,Renee Johnson,https://dummyimage.com/391x990,brandi20@example.com,001-252-659-2690x544,Movie world all matter pretty. Sport staff religious party.,Hardy and Sons,Technology,Proposal,19167,Lost,12/30/2023,Completed,Other,Mexico,1,10/27/2022,12/26/2023,17
249,Jared Mcdonald,https://dummyimage.com/526x323,ortegabrian@example.com,961.320.6349x730,Rather reflect surface goal just attorney girl. Detail international all campaign whether actually medical. Answer watch receive office Congress surface.,Rose-Gonzalez,Healthcare,Proposal,46819,Won,1/4/2024,Completed,Google,Barbados,9,11/14/2020,12/3/2023,89
250,Devin Monroe,https://picsum.photos/777/244,coopermichele@example.com,(212)441-0324,All free natural nor. Pull knowledge age pretty. Society result toward ahead director.,Beard-Mcpherson,Healthcare,Closed Deal,42937,Lost,1/10/2024,Ongoing,Google,Colombia,8,9/22/2023,12/5/2023,95
251,Jordan Smith,https://picsum.photos/672/806,isaac32@example.net,728-928-7378,Word many painting night special majority.,"Carter, Taylor and Mcguire",Finance,Proposal,93624,Won,1/23/2024,Ongoing,Facebook,Guyana,10,10/23/2022,12/27/2023,86
252,Pamela Daniels,https://picsum.photos/312/54,coxlinda@example.com,211-452-9575x5253,Result television six big. Plan actually good test nearly.,Gibson-Pierce,Finance,Opportunity,59608,Lost,1/16/2024,Completed,Facebook,Australia,1,5/19/2023,12/17/2023,80
253,Richard Thompson,https://picsum.photos/720/111,nelsontravis@example.com,771.509.7922x484,Evidence left rule evening rich financial cover that. Field rule coach late rule ready culture baby. Whom low peace might better air tax.,Griffith-Guzman,Healthcare,Lead,90521,Lost,1/27/2024,Ongoing,Instagram,United Kingdom,5,4/18/2021,12/23/2023,28
254,Todd Howell,https://dummyimage.com/372x32,qblack@example.org,+1-235-406-0707x5057,Share major seem. Pattern side across everybody produce learn situation chair. Care write cause.,"Berry, Osborne and Morgan",Retail,Closed Deal,20034,Won,1/7/2024,Completed,Google,Guinea-Bissau,7,6/30/2022,12/12/2023,89
255,Matthew Johnson,https://picsum.photos/1007/367,harperjessica@example.net,001-581-601-6823x7682,Name rise seven Republican stage. First walk west floor. Want great man move yard fast upon.,"Horn, Johnston and Fuller",Finance,Proposal,48630,Won,1/1/2024,Completed,Facebook,Monaco,3,10/7/2023,12/25/2023,92
256,Darlene Powell,https://dummyimage.com/374x776,veronica60@example.com,262.248.3904x03486,Space nice could think near better indicate. Color late but although. Away hope name open professional assume buy wait.,Barnes-Armstrong,Healthcare,Lead,23167,Lost,1/1/2024,Completed,Website,Paraguay,7,1/2/2022,12/13/2023,9
257,Yvonne Young,https://placekitten.com/652/347,kjennings@example.net,647-317-7605x7037,Prove affect without. Ask with carry language society put often. Religious throughout science material impact.,Gates Group,Healthcare,Opportunity,66513,Won,1/15/2024,Completed,Other,Cook Islands,8,11/24/2020,12/7/2023,67
258,Kelly Bailey,https://placekitten.com/11/384,teresa15@example.org,(687)741-9196x3868,Test report discussion account often full near. Toward fast note young for probably.,Carrillo Group,Finance,Opportunity,89665,Lost,1/27/2024,Ongoing,Website,Sudan,4,3/4/2020,12/11/2023,47
259,Jeremy Harris,https://dummyimage.com/685x985,calvinbauer@example.com,001-347-698-1546,Suffer voice away religious. Star social admit talk hear last hand.,Gray Ltd,Retail,Closed Deal,97227,Won,1/26/2024,Completed,Website,Georgia,10,4/27/2021,12/21/2023,10
260,Briana Campos,https://picsum.photos/367/695,angela09@example.org,001-998-811-9832,Blood stuff prepare case. Paper data central challenge board.,Smith PLC,Healthcare,Lead,9061,Lost,1/9/2024,Ongoing,Website,Micronesia,3,10/13/2020,12/8/2023,82
261,Paul Banks,https://placekitten.com/283/595,eguzman@example.org,(395)910-3504x970,Represent pretty keep lose cut career. Sit more black speak.,Lee-Hill,Retail,Proposal,80029,Lost,1/23/2024,Completed,Instagram,France,8,12/26/2022,12/10/2023,65
262,Daniel Carter,https://picsum.photos/663/86,wesley71@example.net,3415532821,Alone whatever loss citizen dog enjoy. Sense same discuss claim.,"Curtis, Callahan and Morris",Technology,Opportunity,55163,Won,1/19/2024,Ongoing,Google,Malta,5,5/1/2022,12/11/2023,75
263,Steve Kline,https://dummyimage.com/853x396,gabriellevy@example.org,+1-483-909-5241x08546,Fear let consider worker set successful. Number capital involve anything who.,Mcdonald Group,Retail,Proposal,72428,Lost,1/12/2024,Completed,Instagram,Martinique,5,2/20/2022,12/11/2023,15
264,William Simmons,https://picsum.photos/915/988,bobgarcia@example.com,578.458.8927,World democratic kid manage stock course. Available hospital agency because certainly suffer from major.,Ross-Logan,Technology,Closed Deal,46237,Lost,1/19/2024,Completed,Instagram,Gabon,7,9/1/2023,12/12/2023,4
265,Jeffrey Perez,https://dummyimage.com/334x437,qstewart@example.org,334.861.6934,Season listen point week. Away image face edge organization or factor significant. Individual quickly carry agency deal gas.,"Liu, Rodriguez and Roberts",Technology,Proposal,82690,Won,1/1/2024,Completed,Website,Bahrain,8,6/25/2020,12/13/2023,97
266,Nicole Edwards,https://placekitten.com/44/957,iflowers@example.org,349.536.5138x822,Share picture major above threat. Pattern coach attention site.,Murphy Ltd,Finance,Proposal,69944,Lost,1/25/2024,Completed,Facebook,Georgia,2,11/20/2023,12/1/2023,5
267,Jennifer Davis,https://placekitten.com/919/833,katie03@example.org,001-658-359-0696x909,Animal magazine control factor view. Executive themselves event move huge. Once pretty significant sense ahead break national.,Lopez LLC,Healthcare,Opportunity,7588,Won,1/19/2024,Completed,Website,Bosnia and Herzegovina,10,3/8/2022,12/2/2023,30
268,Colleen Rivera,https://dummyimage.com/700x759,staceybennett@example.org,001-313-210-3190x7405,Agent employee five government. Wish painting college most speech during spring. Easy now south speech as feeling establish ready.,"Chan, Carter and Sanchez",Technology,Proposal,12873,Won,1/22/2024,Completed,X,Mongolia,6,1/22/2023,12/23/2023,53
269,Shelly Carter,https://dummyimage.com/177x957,roy27@example.com,+1-400-404-9173x03533,Talk young available church today remember of. Short red join occur manager water region.,Hester PLC,Finance,Closed Deal,40271,Won,1/8/2024,Ongoing,Yahoo,Poland,8,6/5/2023,12/9/2023,49
270,Seth Mcbride,https://placekitten.com/133/540,vickie20@example.com,790.748.1924,Hospital involve former radio themselves name visit. Country despite seem provide smile police. Pattern model look none.,"Patterson, Hernandez and Rogers",Healthcare,Opportunity,68501,Won,1/1/2024,Completed,Google,India,3,1/30/2020,12/24/2023,70
271,Mary Young,https://dummyimage.com/200x564,walkerbenjamin@example.org,247-881-6968x16027,Lead Mr meet throw. Miss world offer action seek movie international.,"Guzman, Smith and White",Technology,Opportunity,7524,Won,1/3/2024,Completed,Instagram,Solomon Islands,3,8/8/2020,12/22/2023,42
272,Brittany Ferguson,https://picsum.photos/423/170,michael50@example.net,875-375-2480x3847,Pull cup talk hospital. Enough surface generation policy there girl be near.,Cruz Inc,Finance,Lead,83261,Lost,1/9/2024,Completed,X,Pitcairn Islands,8,9/4/2021,12/6/2023,52
273,Amanda Bean,https://picsum.photos/802/528,martinjohn@example.org,001-618-663-6407x83867,Hope reason subject here chance investment. Ask candidate lose base station. Cultural couple loss fact green.,"Davis, Reyes and Flores",Finance,Closed Deal,86598,Lost,1/16/2024,Ongoing,Google,Algeria,4,10/8/2023,12/22/2023,32
274,Melissa Robinson,https://dummyimage.com/196x36,samuel32@example.com,(909)841-3900,Not alone specific not. Certain give evidence computer television century fine.,Garner-Raymond,Technology,Lead,97646,Won,1/16/2024,Ongoing,X,Oman,6,6/2/2020,12/3/2023,62
275,Laura Salazar,https://picsum.photos/902/142,khammond@example.net,4338240117,Evidence as growth result owner term.,"Evans, Young and House",Technology,Closed Deal,68407,Won,1/7/2024,Completed,Facebook,Croatia,9,1/20/2021,12/27/2023,80
276,Casey Gonzalez,https://placekitten.com/37/294,harrismaurice@example.org,001-911-940-7587,Boy point compare bag. Finish down central activity look summer moment.,Myers Inc,Healthcare,Opportunity,52642,Won,1/19/2024,Completed,Facebook,Venezuela,6,2/12/2022,12/20/2023,1
277,Cassandra Harris,https://picsum.photos/328/73,mpeterson@example.org,(442)889-0302x3166,Why care around kid friend once among possible.,"Castaneda, Cook and Nguyen",Technology,Opportunity,61423,Won,1/14/2024,Ongoing,X,Monaco,1,5/3/2023,12/19/2023,71
278,Jill Glenn,https://placekitten.com/760/586,sally09@example.org,782-954-8591,Mr wait special. Wife budget pick. They own compare data force government all student.,Stanley-Thomas,Healthcare,Closed Deal,66163,Won,1/8/2024,Ongoing,Website,Tuvalu,3,1/16/2021,12/26/2023,11
279,Erik Baker,https://picsum.photos/619/359,lindacalderon@example.com,001-431-215-2559x0531,Three wish store day happy. True I for short human. Environmental money step.,Brock-Kelley,Technology,Proposal,42824,Lost,1/10/2024,Ongoing,Website,Antigua and Barbuda,9,9/5/2020,12/26/2023,3
280,Travis Sherman,https://dummyimage.com/118x418,bochoa@example.net,+1-368-231-5869x20733,Ever against feel high success behind. Second society because book develop seem.,Ramirez-Hartman,Retail,Proposal,66126,Lost,1/7/2024,Completed,Other,United Kingdom,10,11/23/2022,12/11/2023,27
281,Whitney Burch,https://placekitten.com/483/929,xhorne@example.org,-4193,Establish least answer hotel truth sell tell. Fact officer into how take than. Indeed threat must perform but whole.,Vazquez Group,Finance,Closed Deal,6102,Lost,1/4/2024,Ongoing,Facebook,South Africa,7,6/20/2020,12/22/2023,44
282,Carrie Smith,https://dummyimage.com/908x513,chandlerkatherine@example.com,+1-777-479-6043x3840,Make operation value goal.,Gomez-Cunningham,Healthcare,Opportunity,86539,Won,1/25/2024,Ongoing,Google,United States of America,2,7/21/2022,12/21/2023,43
283,Daniel Allen,https://placekitten.com/988/758,jessica18@example.org,721-877-9935x42501,Through race worry.,"Hoffman, Larson and Barajas",Healthcare,Opportunity,86084,Lost,1/2/2024,Completed,Instagram,Senegal,2,3/18/2020,12/3/2023,25
284,Pamela Thompson,https://placekitten.com/491/494,ecurtis@example.net,986.209.4988x853,Reduce particularly audience month more history. Agency protect next. Crime themselves minute necessary book audience bring.,"Hernandez, Delgado and Arias",Retail,Closed Deal,46543,Lost,1/20/2024,Completed,Yahoo,Cape Verde,1,11/2/2021,12/7/2023,92
285,Jonathan Russell,https://dummyimage.com/125x53,jessicahines@example.net,001-624-577-6383x94693,Interest plant life trade. Teacher weight understand always.,"Lee, Howard and Johnston",Healthcare,Opportunity,24011,Won,1/2/2024,Completed,X,Saint Helena,6,7/16/2020,12/4/2023,47
286,Christina Riggs,https://placekitten.com/1002/350,benjamin08@example.net,834-778-2429x92849,Grow west front lose game. Southern bad car test president score top player.,"Ortega, Blackwell and Burke",Healthcare,Closed Deal,32524,Won,1/9/2024,Completed,Facebook,Macao,5,1/12/2022,12/16/2023,4
287,Michael Brown,https://picsum.photos/172/249,stephen30@example.org,-1598,Certain both still beyond white then key. Cold general process worry help.,Nolan-Thomas,Healthcare,Opportunity,30053,Won,1/5/2024,Completed,Website,Honduras,6,7/18/2020,12/1/2023,58
288,Eric Reed,https://placekitten.com/443/426,juliajohnson@example.net,670.690.4423x2893,Church environmental suggest respond. Alone race enough car story particular. Clearly high such star learn party provide.,Shields-Hernandez,Retail,Closed Deal,7672,Won,1/22/2024,Ongoing,Google,British Indian Ocean Territory (Chagos Archipelago),3,5/1/2023,12/10/2023,5
289,Mark Nguyen,https://picsum.photos/904/211,daniel82@example.org,(436)304-1757x97151,Close only still school phone skill. Wife scene form. Above plant vote attorney despite.,"James, Dixon and Strickland",Finance,Lead,92632,Lost,12/31/2023,Ongoing,Website,Saint Pierre and Miquelon,10,3/13/2023,12/2/2023,37
290,Shelby Johnson,https://dummyimage.com/21x867,jcook@example.com,(546)742-3005,Movement usually including politics structure with. Only air evening big behavior everybody physical plan.,Olson-Dyer,Healthcare,Proposal,8167,Lost,1/5/2024,Completed,Facebook,Saint Barthelemy,3,5/17/2022,12/2/2023,1
291,Mathew White,https://dummyimage.com/1010x495,icole@example.com,410.518.9583x012,Identify kid green certainly. Out national marriage third politics adult.,Bishop PLC,Healthcare,Closed Deal,51715,Won,1/2/2024,Ongoing,Instagram,Cote d'Ivoire,6,4/16/2020,12/10/2023,99
292,Marcus Guerrero,https://dummyimage.com/914x1000,mary94@example.com,828.920.0999,Debate claim himself executive. Nature trial position control.,Turner LLC,Technology,Opportunity,52367,Lost,1/19/2024,Completed,Facebook,Holy See (Vatican City State),8,6/7/2021,12/9/2023,28
293,Brandi Alvarez MD,https://picsum.photos/406/206,rogerlopez@example.net,-9871,Prove recently yourself. Hour born leave particularly budget.,"Roach, Carney and Morrow",Finance,Lead,27753,Lost,1/1/2024,Completed,Google,Niger,3,9/14/2023,12/23/2023,26
294,Sherry Cummings,https://dummyimage.com/184x303,kbutler@example.com,9482530370,Send garden way center hold. History now government necessary budget available support.,Payne PLC,Technology,Closed Deal,61336,Lost,1/23/2024,Completed,Facebook,Tonga,9,12/9/2020,12/26/2023,80
295,Regina Johnson,https://placekitten.com/114/1011,elainejackson@example.org,001-709-394-1980x609,Bill good together piece drive certain. Answer pull performance base marriage eat wish.,Smith-Hudson,Finance,Opportunity,4914,Lost,1/27/2024,Ongoing,X,Malta,3,8/2/2020,12/18/2023,74
